sat1_epoch day,sat1_ballistic coefficient,sat1_inclination,sat1_right ascension of the ascending node,sat1_eccentricity,sat1_argument of perigee,sat1_mean anomaly,sat1_mean motion,sat1_apogee,sat1_perigee,sat2_epoch day,sat2_ballistic coefficient,sat2_inclination,sat2_right ascension of the ascending node,sat2_eccentricity,sat2_argument of perigee,sat2_mean anomaly,sat2_mean motion,sat2_apogee,sat2_perigee,inclination difference,eccentricity difference,ascending node difference,argument of perigee difference,mean anomaly difference,mean motion difference,apogee difference,perigee difference,close_approach
355.4932915,2.584e-05,53.1613,277.4703,0.000115,107.7907,252.322,15.30186763,-6277.865719622287,-6277.887138043655,356.10909155,6.998e-05,53.0533,242.9289,0.0001418,92.8889,267.2263,15.06397483,-6276.885232485279,-6276.9119196491065,0.10799999999999699,-2.68e-05,34.54140000000001,14.901799999999994,-14.904299999999978,0.2378928000000009,-0.9804871370079127,-0.9752183945483921,False
351.40211244,0.0001316,53.0556,24.0575,0.0001337,87.8614,272.2528,15.06427908,-6276.887261911274,-6276.912424293229,355.98251771,-3.07e-06,0.0381,230.7851,0.0003941,15.3038,331.6582,1.00272769,-5797.845509741521,-5798.297092142118,53.0175,-0.0002604,-206.7276,72.55760000000001,-59.40540000000004,14.06155139,-479.04175216975364,-478.61533215111103,False
351.88182913,0.00029621,97.355,67.6952,0.0044118,268.7575,90.862,15.45348982,-6278.078400821589,-6278.894702484423,356.56796652,-7.5e-07,49.9976,171.6224,8.2e-06,110.2201,249.8685,13.41411123,-6269.331860735403,-6269.333528079215,47.357400000000005,0.0044036,-103.9272,158.5374,-159.00650000000002,2.03937859,-8.746540086185632,-9.561174405207566,False
351.92051651,-6.2e-07,42.9996,199.7081,0.0001296,276.0642,84.0067,15.40701376,-6278.2885834632825,-6278.312611148461,356.10909155,6.998e-05,53.0533,242.9289,0.0001418,92.8889,267.2263,15.06397483,-6276.885232485279,-6276.9119196491065,-10.0537,-1.2199999999999998e-05,-43.2208,183.17530000000002,-183.21959999999999,0.3430389300000005,-1.4033509780038003,-1.4006914993542523,False
351.94467761,3.8e-05,43.0064,303.5866,0.0001345,259.7251,100.344,15.02519443,-6276.724048488337,-6276.749405308801,356.50680066,9.7e-07,87.907,7.2513,0.0001627,93.9914,266.1402,13.15549967,-6267.987876932349,-6268.021391624355,-44.9006,-2.8200000000000008e-05,296.33529999999996,165.7337,-165.7962,1.8696947600000016,-8.736171555988221,-8.728013684446523,False
351.75871985,0.00012938,53.0539,112.4568,0.0001482,83.7716,276.3442,15.06448899,-6276.886771724174,-6276.914662751585,355.87548202,6.44e-06,87.8895,144.4872,0.0001544,99.7358,260.3944,13.10371506,-6267.717516545481,-6267.749405252755,-34.8356,-6.200000000000015e-06,-32.0304,-15.964199999999991,15.949799999999982,1.9607739299999984,-9.169255178692765,-9.165257498829305,False
350.78433615,-2.68e-06,0.0516,140.8749,0.0001024,135.496,231.6634,1.00269898,-5798.001695637007,-5798.119033674326,356.04789193,2.867e-05,53.2181,10.7058,0.0001507,94.5824,265.534,15.0884063,-6276.986018419686,-6277.014349964171,-53.1665,-4.830000000000001e-05,130.1691,40.9136,-33.870599999999996,-14.085707320000001,478.98432278267865,478.89531628984514,False
355.89791262,-6.5e-07,52.0078,278.8404,7.45e-05,56.1183,20.7188,12.62268544,-6265.118415930672,-6265.134191111448,356.52343429,0.00060858,97.5787,125.1615,0.0011589,186.649,173.4604,15.41006832,-6278.205432391455,-6278.420262673445,-45.570899999999995,-0.0010844000000000001,153.6789,-130.5307,-152.7416,-2.787382880000001,13.087016460783161,13.286071561997232,False
351.67303845,0.00021691,53.0568,82.8437,0.0001542,97.6562,262.4602,15.06440122,-6276.8858415708755,-6276.9148619024,356.51243613,-1.3e-07,87.9248,22.4069,0.0002009,97.0684,263.0678,13.20771476,-6268.2556293354255,-6268.296903731532,-34.868,-4.67e-05,60.4368,0.5878000000000014,-0.6075999999999908,1.8566864600000006,-8.630212235450017,-8.617958170867496,False
355.80178189,-3.21e-06,87.8909,129.3562,0.0001539,104.0406,256.0893,13.11419298,-6267.772588934632,-6267.804357442584,356.04789193,2.867e-05,53.2181,10.7058,0.0001507,94.5824,265.534,15.0884063,-6276.986018419686,-6277.014349964171,34.6728,3.1999999999999965e-06,118.6504,9.45819999999999,-9.444700000000012,-1.9742133200000005,9.213429485053894,9.209992521587083,False
356.51243613,-1.3e-07,87.9248,22.4069,0.0002009,97.0684,263.0678,13.20771476,-6268.2556293354255,-6268.296903731532,356.07548112,9.278e-05,53.2156,230.4251,0.0001407,106.5573,253.5573,15.0885315,-6276.987478479459,-6277.013929881303,34.7092,6.02e-05,-208.01819999999998,-9.488900000000001,9.510499999999979,-1.8808167400000002,8.731849144033731,8.71702614977039,False
